Distancia (km),Quantidade transportada (ton),Custo combustivel (R$/L),"Tipo transporte (Caminhao = 1, Ferrovia = 0)",Funcionarios envolvidos,"Regiao (1 = Sul, 2 = Sudeste, 3 = Norte)",Custo logistico (R$)
1071,574,5.319986900270634,1,20,2,70655.0565467042
1463,726,4.777536825723194,0,8,2,94400.70674145382
615,151,4.262824765710537,0,12,1,29159.094816428566
1179,841,4.524970015801182,1,6,3,92070.06902319634
1845,819,5.162430954978767,0,18,1,99796.73819109939
1895,898,5.436335895121028,1,19,1,127490.36454964819
1550,917,4.248843773703787,1,13,2,116327.06057425895
752,447,5.199194520088108,0,6,1,49018.60805874537
451,187,5.1007025576775025,1,21,1,43837.222195156144
779,724,5.027910893381416,0,14,1,60107.02438190204
1629,970,5.380246235364016,0,13,3,109977.83788367173
211,436,5.674899190166924,0,6,3,35414.62844070869
251,160,4.645979366353737,1,23,2,36333.48064616673
1045,663,5.778024380221919,1,21,2,76620.12689225338
319,66,4.321267225237102,1,15,3,29554.9376031556
1936,829,4.346047739502328,1,21,1,116712.56686380127
865,231,4.533544127247848,1,14,2,56023.44384347879
1344,933,4.239061739094156,1,22,2,97975.4430802215
505,585,4.460638449365755,1,10,1,54771.09116993938
1535,590,4.212823525805689,0,20,1,83773.49198278876
1800,220,5.6435048339707805,1,22,1,83551.8489206705
1325,458,4.277937983773249,1,24,1,82466.38036144197
1066,789,5.494595115119713,1,22,1,89328.30608145296
1775,427,4.095827735826667,0,5,3,77881.94839459848
345,237,5.89704065502783,0,7,1,26079.306924213517
1798,907,5.422320175055532,0,19,2,110556.27205561672
769,279,4.013593097172223,1,24,3,52418.411847085925
1822,882,5.5277130004004285,0,14,2,101293.71083393597
387,901,5.02816384153237,0,9,1,60559.20899967048
928,168,5.558730340670239,1,19,2,56276.61472311166
1126,205,5.044993617781177,1,18,1,51138.33753622809
841,833,5.282049715270709,1,19,2,84208.5709745103
1995,736,5.572663310790081,0,14,2,107429.12516543014
266,514,4.810216109175713,1,13,1,52961.90724552428
813,153,4.005416299640904,1,16,2,44623.85917507232
237,653,5.699892991890377,1,11,3,61569.645715914034
429,747,4.761780725249325,1,9,2,72469.35794040195
542,844,4.992085452033166,1,14,3,81389.56858442217
1114,551,4.015533284307938,1,12,3,78118.28796651955
1230,742,4.984184020700196,0,24,2,70966.08082471786
64,731,5.972974803143459,1,20,3,60503.16443286578
1886,748,4.556535321637539,0,16,3,111751.08719840225
114,224,4.790836540484756,0,13,2,26435.72733288798
1930,783,5.374379992937353,1,14,1,116910.1019810001
1912,794,5.629587335047317,0,20,1,104717.18675032604
570,723,4.834783248012201,0,14,3,67551.30377680079
1417,470,4.619337740802585,0,13,3,77135.91250603781
1202,183,5.875651599970134,1,7,1,52116.40616858098
697,440,5.354289933343338,0,23,3,58345.0400321504
1545,785,4.238042608986282,0,15,1,86913.36182336061
1136,550,4.137855756269297,0,10,2,68985.09280968201
1212,714,4.967099701580738,0,10,3,85239.53368948575
1572,82,4.440180132094545,1,19,2,65634.21632534954
642,104,4.507969506752507,1,19,1,35686.70081443985
441,568,5.7553843576556964,0,17,1,50593.54172477699
1748,805,4.1791320486326216,1,9,2,104111.86821857469
468,874,5.430728230457779,1,18,3,77291.38295936075
338,687,4.542284506761176,0,6,2,57003.00955307671
428,61,5.520656442808275,1,16,2,42382.78968622606
1846,577,5.444822768927089,1,24,3,96444.26170131133
1563,769,4.014783802888586,0,18,1,90053.85007643669
280,604,5.0182708258431985,0,23,2,53759.38189499662
1067,422,4.278638964756093,1,24,2,69658.72804871893
90,533,5.732454061157354,1,19,1,50075.658696719875
1101,696,5.743171765724814,1,24,2,91438.07270699191
184,277,4.836691614987516,1,21,1,32833.4523830084
250,672,4.888791236902161,0,18,3,53487.488075990135
1913,356,4.606565878809054,0,22,1,84140.58335586014
829,506,5.433212597920062,0,9,1,60337.53937084232
979,209,4.7173227260529185,0,16,2,39652.91256108295
1106,380,4.535584949045267,0,14,1,64311.959184530264
1121,825,4.8644621190090165,1,12,1,93946.52734614053
552,274,4.182975036774917,1,10,2,41699.559420709265
456,778,5.493206409288407,0,19,1,58587.59387391862
1647,553,4.0251928025435735,0,16,2,88861.78120733296
1801,505,5.288970123041188,0,10,3,83538.95032564292
854,94,4.365729053509745,1,16,1,41480.10233303258
148,263,4.464808092428826,1,19,3,37815.44420577671
733,108,5.27126399728008,1,16,1,41444.44648180322
1945,693,5.9858869315658145,0,13,1,100547.27403427375
775,665,5.555434978145101,0,23,3,71692.5064779106
1620,244,4.451679264446784,0,6,3,70987.05033707124
1010,974,4.352049510082267,0,17,2,86824.5312616605
1812,538,5.732465740535341,0,17,2,93963.94863101478
662,206,4.888367895843008,1,12,3,49279.68267495214
1535,659,4.274105605656311,0,17,1,81108.36426815916
692,275,5.7244228466438765,1,8,2,57948.620368449796
1842,461,5.632184705828523,1,10,1,82032.76854135284
1078,254,5.967812727794327,1,10,2,63344.056139089626
1291,128,5.819487373425368,1,16,2,61822.62274621266
552,173,5.703580677321083,1,16,2,39046.761853066026
816,520,4.105148795622006,0,21,3,62125.47815381528
447,989,4.208830738996236,0,11,1,70362.97853219311
920,267,5.137966388608246,0,19,3,47273.88891684243
844,565,5.0629584925636415,1,21,2,65221.612934757446
442,651,4.915926428979071,1,14,3,59138.14681472748
256,153,4.7935786508291685,1,24,3,45192.976575222914
1088,442,4.862420969728658,1,10,3,83789.70616134841
1931,680,5.13859586826959,1,13,1,107947.05014110527
1627,694,4.004153035200162,1,19,3,96554.2096167934
941,873,4.521417548265704,0,20,3,81413.95353456988
1534,657,5.036559441377422,1,12,3,87584.91525895394
1764,483,5.444432197347292,1,20,3,99365.608829591
1648,380,4.348313384790792,0,9,3,72543.8504814135
913,192,5.093762347574866,1,22,3,51685.881945823705
792,849,5.428919367771563,0,24,3,82212.62451789292
1314,589,4.88925531582781,0,18,2,76343.39879279284
613,327,4.054162267340102,0,6,3,47695.47939390034
1070,282,4.898536316931273,1,7,3,71383.82060777013
145,578,4.592889775488306,0,18,1,38899.38674593302
1973,620,5.859299215402657,0,11,2,98193.85850154041
1807,139,4.249226771356655,1,19,3,86475.97942557628
534,541,5.304951911014465,0,21,1,47128.58708581444
1480,248,4.105439532669003,1,5,3,81125.88805586164
280,411,4.892340875625393,1,13,3,38579.9527940487
798,490,5.1079589744401614,0,18,3,57019.93419788097
1728,75,4.5959098626337305,1,20,3,76824.17004299756
1244,74,4.910151271040769,1,17,3,55150.06991439352
590,443,4.3271075890603745,0,10,1,46861.248544010625
1109,556,4.608247698936072,0,5,3,70735.16370939647
574,350,5.242212649820406,0,8,1,36480.14377333871
1233,388,4.60360011172231,0,7,3,61539.561509924
1912,316,5.799486156817744,1,21,1,85799.53559951844
1772,510,5.256813915281979,0,6,2,78055.76447702898
1316,742,4.877298036871969,0,23,3,95369.0845318437
1159,505,4.077513871108365,0,24,2,67406.8181169999
1869,409,4.999096670409342,1,12,2,87454.8679756011
627,117,5.529552484250178,1,19,2,42713.22683119453
731,912,4.531115196024827,1,10,3,87994.99102880813
606,461,5.613547139297535,1,24,2,56346.40912722891
1647,540,4.503613532101763,1,6,1,89438.43974933497
1062,882,5.6474927759016005,0,19,3,93203.67634850534
695,98,4.170536683223355,1,24,2,38396.20744110111
845,736,5.732367417738059,1,16,3,79708.08140641286
1101,613,4.998372901866661,1,7,2,70852.08671076021
1693,151,4.5930751792405236,0,14,1,73152.94230605988
1629,265,4.530226500830297,0,18,3,75475.89605518502
1413,487,4.864021117860725,1,18,3,86724.18482208971
1871,749,5.99809899620729,0,7,2,97688.69901567725
1404,618,4.440654786875165,1,5,1,83900.28121822025
1713,608,4.206433297757999,0,24,3,90947.81010719147
1579,208,5.170070337437323,0,5,2,67335.78544692292
1421,538,4.977084932880514,1,6,1,79300.627632787
1546,735,5.0483925421266145,0,23,1,87638.61225129357
1304,291,5.333870835114434,1,14,1,74023.23835211627
239,843,4.534288139741299,1,8,1,72432.81000397439
1298,802,5.821329990767777,1,8,3,101468.29295139236
1458,931,4.87134413224458,0,17,3,97114.54409885473
1450,54,4.258172390284924,0,13,1,50854.03408162066
1356,645,5.484597513467889,1,11,2,92833.73442611605
682,869,5.2862087052357,1,20,2,81095.73626433598
677,410,4.631486804968074,0,22,1,50884.91781787012
1022,508,5.2430374480680975,1,7,1,67731.29075490155
1818,297,4.4397239127379535,0,24,2,86076.27155057699
1332,615,4.8896787186810595,0,24,1,77117.28142732623
1432,722,5.7988250443346505,0,14,1,82203.84099683729
759,995,4.267068466321499,1,20,3,95611.55924290439
1529,471,4.773392899974924,1,7,3,83610.96689111504
1484,972,5.642284849440695,0,15,1,100180.73755373423
698,787,5.938981798812357,1,14,1,83666.50934462892
367,64,4.907852272843591,1,20,3,28581.22671123051
1750,785,5.013999240286695,0,12,1,103413.89546438362
1298,622,5.14434392356754,0,13,3,73456.9408723373
1892,171,5.864696283267421,1,19,3,90244.72441693582
1307,326,5.716413581954059,0,7,2,58335.03058985656
733,607,4.341202249243288,1,8,3,77269.7137337317
713,502,4.87351563569415,0,17,2,51746.29141848541
1900,439,4.928000856392853,0,16,2,85231.42388809752
1447,343,5.578192223297513,1,13,3,75956.88909279818
1745,623,5.20578576521087,1,18,1,87842.95700446428
1681,647,5.308440924058026,1,23,3,98022.5102584377
1545,495,5.996399815331236,1,11,2,80775.47750006145
1306,259,4.149920086940027,1,20,3,61995.53164643679
1765,639,4.446019647067466,0,24,3,96992.70906496489
1186,763,4.815791874743094,0,9,2,88662.23115942067
1903,351,4.695564806097774,1,14,3,103374.54176613242
1570,958,4.043291122693967,0,22,3,99408.65912160762
491,272,4.183555212942352,1,15,2,45372.19126045642
613,783,5.361906582807152,0,11,1,69144.88991553441
1341,52,5.7586489267251215,0,18,2,44951.32623476301
1583,567,5.028454022531955,1,24,2,100772.2489851755
1880,142,5.0783821590272655,1,22,3,90339.41887343045
1459,569,4.510186865664759,1,15,2,80244.52833791543
1460,477,5.535752727267423,0,16,3,66237.46446214453
1186,542,5.503589174734513,1,22,3,81630.54890410251
1686,284,5.1767313784353135,1,6,3,88658.73987408298
1698,669,4.425328573022686,1,5,2,93504.0286309076
1001,210,4.194036436474179,1,14,2,47835.49116889974
1154,770,4.128477151714252,1,5,3,92006.07281156359
748,801,5.185392133285756,1,10,1,81246.49261197493
162,380,5.6500706382856,0,11,1,26384.119209588363
51,382,5.71666086356185,0,21,2,26596.060176053386
691,99,4.927244148686899,0,13,3,38577.06320101673
269,572,5.568542598613433,0,11,3,42204.66766108155
1639,912,5.893760392682047,1,21,2,109842.54786638924
904,717,4.550340224976136,1,7,1,79331.60464425357
1809,541,4.795920692761515,0,20,2,91662.95007380281
1298,631,5.862957985193361,0,9,2,77201.84986801194
434,730,4.6764619346345695,0,24,3,67680.65058180955
1476,321,5.827752580643592,1,22,2,83192.74141899036
1711,629,5.962089724508932,1,5,1,96506.35542972453
1203,916,5.32362145714885,1,8,2,92898.25926250256
1126,301,5.633780579008336,0,15,3,64104.00335068681
1757,609,5.499091128442171,0,24,1,95441.92516626205
779,745,5.399068515231048,0,13,3,70124.40289417526
1745,881,4.613862145962465,0,12,2,105291.34127993332
1783,748,4.114188675815887,0,12,2,101653.312051883
1489,139,4.686103465039301,1,9,2,76878.5697484712
296,495,5.333871970407813,1,16,3,58333.23345801138
885,381,4.205058396455603,1,5,2,64427.6171877349
1512,188,4.023835965956485,1,19,1,75320.66651961635
252,406,4.279384745205878,1,22,1,49955.31087063665
1257,650,5.43147185282159,0,10,3,81279.33311369049
172,323,5.945587403312888,1,14,3,46270.44004511203
450,68,5.966129399229641,0,18,3,24301.520427164
816,360,4.987958298280375,1,12,2,65350.308011798676
343,919,5.738704601984695,0,7,1,58469.36395343245
329,935,5.473652911503008,0,23,1,58615.17057512808
1910,203,5.002080473969206,0,16,1,72906.82683824793
933,439,5.145521065910174,0,16,3,53403.97048366065
1683,309,4.274454293233742,0,19,3,72994.71932401111
247,669,5.875322921233185,0,11,2,50790.03054389954
1031,932,4.703859541463554,1,8,3,98071.55074561563
1980,846,4.892298512914339,0,13,1,110643.94208396389
1584,620,5.3433204619957975,0,20,2,90466.67590409514
801,174,4.667804943053108,1,17,3,54634.95374047668
193,403,4.508518321977861,0,8,3,30736.016789572623
658,322,5.262098786540442,1,13,1,56387.39884599749
1274,668,4.049968164563699,1,22,2,89296.89578406194
1197,860,5.441450224053358,0,19,3,90732.0817258444
236,294,5.0280467397530195,0,19,3,32714.559104514894
1399,897,5.211507461041869,1,10,2,112298.75778315967
513,499,5.2637603184937705,0,15,2,42497.504980059595
1422,979,5.054100312985128,1,12,3,109621.4315922161
1844,296,5.165067554881472,0,21,3,83459.30649096468
709,569,5.367576401779749,1,21,1,66613.3311555021
813,190,5.506237694359348,0,22,2,40419.627390238384
1004,411,5.454904782572241,0,8,3,50607.26859400857
452,57,5.739232915464523,1,19,3,35744.96470249234
1419,527,4.378886866334805,1,6,3,89521.56605623524
1584,401,4.802295938983595,1,6,3,89288.72217597964
196,544,5.895592132028915,1,14,1,48587.42499958665
1221,655,4.79318114877266,0,7,2,77366.47413365859
913,882,4.249740153811845,1,12,3,85097.4525588146
1784,476,5.0508902527243595,1,24,2,98192.4599293068
1893,88,4.218981945108924,0,11,2,68446.68243473502
538,642,4.40570647745573,0,16,3,58868.89996192154
978,236,5.996637513141914,1,23,3,61341.09823583809
1713,645,5.082725276792264,0,19,3,95145.47760915065
600,649,4.568116778080858,1,18,1,69707.11798729615
387,803,5.989549909147812,0,20,3,64032.06674376505
921,903,5.933117837110286,1,18,2,82432.13596370757
690,142,4.8814780821685275,0,7,2,36321.56628218943
1852,135,4.520806217575817,1,22,1,76831.06713462286
522,93,5.67679927618438,1,10,3,36607.427513670984
200,186,5.431241433943572,0,21,3,32861.485612335644
1488,470,5.373882870007021,0,18,1,69964.36578500035
1371,123,5.786227482644945,1,18,1,59874.71565862778
1684,597,5.378834267742649,1,24,3,90252.46919760128
312,662,4.567595886083098,0,17,3,59646.37230416911
1837,561,5.3877263237514645,0,7,2,95009.59046497264
193,205,4.611627022567328,0,17,3,24384.670177518048
395,987,5.51847795931399,0,6,3,73623.23801205186
673,304,5.2394957089831315,0,13,2,32181.85687296471
1066,220,4.154823103969501,0,17,2,53133.840424796384
1645,777,5.0256707248702845,0,12,2,91627.49571370297
930,219,4.686601938391481,0,20,2,55562.0634592021
51,813,4.657141265464588,0,7,1,49046.28262642869
946,921,5.204512604754514,1,17,2,93387.29016245315
1377,371,4.64464964893885,0,8,1,60878.80039490197
303,616,5.553787496409745,0,22,2,44794.640802129616
1725,505,4.141582872022349,1,6,2,96633.5591292192
502,993,5.320776504791651,1,24,2,79620.04861399025
1110,652,5.618389607313483,1,19,3,82262.28297770736
1233,839,5.34566337984086,1,21,1,102748.25585753261
1064,662,4.994458390039991,1,14,2,84354.97947734059
58,204,5.900614027472362,1,5,3,25909.36287715847
1306,938,4.599876979596127,0,10,1,94138.67126414456
1172,398,4.038335775049956,1,7,1,68383.86715643892
1732,500,4.863978742926882,1,23,3,88862.87668987647
865,925,4.066023871800654,1,11,1,84837.96941042166
257,702,5.907873505052818,0,17,3,48221.030191817146
1204,222,4.419836091496103,1,17,2,66408.80586717441
453,59,5.577854047897759,0,21,3,24151.016918140824
201,789,5.5491441663487295,1,5,1,61209.08333539345
103,314,4.435457799365867,1,18,1,38139.02732016575
1193,487,5.242453060960335,0,7,2,79266.0249452835
1746,809,4.096157936972901,0,18,3,112577.58482875318
1993,296,4.967149171407735,1,5,2,92689.82167974408
677,716,4.029294254544974,0,20,3,65861.62638889225
636,595,5.842287760361684,0,14,3,56175.68533574444
1698,548,5.952172048399143,1,17,3,90800.59619128666
1493,178,4.444565533277171,1,8,2,59280.7136736684
1495,721,4.416212069192746,1,13,2,94194.58606629264
153,650,5.5074403531242595,0,18,1,51830.9442559757
1925,654,4.506758797658669,1,8,2,115518.86721886514
303,376,5.7901531183236905,1,14,3,48543.29300701641
1300,802,5.147858272245965,0,12,3,91200.00992452848
1185,884,4.701555246020624,0,7,3,85777.19222269859
559,453,5.66538749269884,1,11,2,57201.9415749011
1546,678,4.98681340082679,0,14,1,82292.53967913239
148,655,5.823265827416951,1,7,2,50911.782748260426
202,724,5.856028473458762,0,6,1,50850.703529857106
1934,660,4.330840304256819,1,19,2,106058.95229637508
963,674,4.004646812263861,0,13,3,74353.1525530535
1969,408,5.967861880284804,0,19,1,85617.9736632434
927,652,5.812275072254959,0,21,2,76505.49863349285
387,907,4.110890471407683,0,11,3,68877.15173525554
1779,767,5.66606852788214,1,24,1,110174.66577190808
871,66,4.915609865118413,0,22,1,28936.18660390647
1236,323,4.5179232100499505,1,19,3,70936.41425387961
1793,734,5.75749304735386,0,22,3,101317.32489626601
1006,165,4.393334464780614,0,16,2,46499.47319102109
1754,910,5.894599998840134,1,12,2,119583.44390928256
210,742,4.411242975398682,0,6,3,53235.722188421074
1653,140,5.227366375457487,0,6,2,58637.543106749385
850,131,4.446172669057949,1,9,3,54133.65762463705
447,373,5.09133732993727,0,5,3,38799.33327987516
1350,163,5.367950259830282,1,8,2,62896.3177467016
865,818,4.380455861640275,0,10,2,68526.66286003342
1989,107,5.041771565401358,0,17,1,69484.24397834924
1577,203,4.938119488780238,0,23,1,61443.00955198059
1969,926,4.142074842806682,1,15,2,128744.74410144804
1465,453,5.636615635350606,0,17,2,73780.75653384262
1208,677,4.671364801285684,0,12,2,80286.49022686692
1268,904,5.149164395103759,0,11,1,79900.89042894827
450,315,5.029568469866269,0,17,2,41186.94394209187
689,364,5.026521009140884,0,5,1,47090.1780025843
1106,764,4.214444788416975,0,10,1,69208.58293584807
737,90,4.8469640184986655,0,11,1,27774.26934705812
509,154,4.90473351841314,0,20,1,26107.39570678236
1004,950,5.467285680728897,0,19,3,87240.16730626982
1956,939,5.6800376638413965,1,24,2,121345.47357620858
519,242,5.0899645562000355,0,6,2,33590.17435396593
1448,450,4.173565908129981,1,20,3,89294.6005726083
1095,327,4.473698941193092,1,21,2,64746.011483493574
799,403,4.329868053705463,1,19,1,61671.16908150562
1743,798,4.249230126378249,0,7,3,101892.3073777788
87,986,4.731798597235615,1,8,1,52288.272953107116
279,782,4.458787004308764,1,16,3,63260.26015393654
1438,629,4.436606223623024,1,9,1,94636.6225055515
612,758,4.109386349152535,0,21,2,59941.022690813144
487,305,4.035340089590868,1,10,2,41523.51002565914
1849,700,4.205536485299564,0,14,2,103152.23472750424
1356,873,4.344394958847266,1,22,3,105469.4177308094
76,996,4.861967457696406,1,14,2,77197.28490809687
275,710,5.021040522597689,0,10,3,50936.521973701296
1350,148,4.281183836346731,0,10,1,59051.26285358559
847,637,4.849566683048373,1,24,2,71640.56639823862
1682,331,4.683497684651854,1,19,1,70409.48137485019
333,932,4.366847286995912,1,8,2,76939.7885542853
928,452,4.013681496296727,0,20,1,59313.00261378442
1009,158,4.934035733043483,0,12,3,51201.42597304715
1554,749,5.3713034985303985,1,11,2,100822.96212796352
502,248,4.452554668287614,1,23,3,55321.03170175309
1069,352,4.263613659793359,0,21,3,64229.34996582464
1902,376,5.774085488893924,0,17,1,86571.63765112693
865,203,4.550049544975596,1,19,2,54883.29516388888
708,601,4.44722523958533,0,6,3,53378.61999526362
1589,694,5.714193879219832,1,14,1,98965.33293154412
596,454,5.634214198333522,0,17,1,48894.389389078904
1265,511,4.896692941049267,1,22,1,90312.3661653724
1122,181,4.9784777228555495,1,15,2,62029.45898423411
1585,840,4.435497409668044,1,17,2,102237.32760387618
66,923,4.156603340959115,0,23,1,56844.74456133794
1245,133,5.146863650711322,1,9,2,67761.04224229665
1293,448,4.196689843180426,1,7,1,84531.16842672003
207,803,4.898549093913299,0,23,2,54574.770511643714
526,677,5.880994397026021,1,17,2,67272.55654322902
1119,158,5.905668778341169,1,9,1,50266.062947541664
1446,270,4.478664573094717,1,16,1,69702.61163699164
567,953,5.248226840091309,0,18,2,75248.18655341736
148,602,4.948152528215715,0,10,1,32394.768238995763
1965,417,5.751370255172212,0,13,1,96213.44595912914
1818,196,4.542861728552106,0,21,1,68928.09340851645
1110,161,4.0074048136648335,1,12,1,57155.50012739969
329,664,4.32512241186283,0,17,2,52643.270667887264
1422,607,4.699045602338796,0,9,3,87905.24743254333
546,973,4.631442259540977,0,21,2,74779.27995390765
351,543,5.582725838245771,1,7,1,47830.8411912082
230,554,5.361121332277675,1,10,1,52389.584693672376
656,524,4.599112639229794,1,18,2,69614.77930359659
1172,885,4.915487634332427,0,19,1,81294.26454890538
749,939,4.19111820791667,1,18,2,91315.72155309148
1042,320,5.796292889640202,1,15,3,68929.39224057461
1189,470,5.870849648897068,0,15,1,66081.17284940924
240,946,5.9596070707618765,1,13,3,71579.86342269609
302,756,5.737105661571675,0,10,3,55617.329499440035
1030,416,4.347921775392451,0,19,1,59966.82706483266
977,329,4.092392966403258,1,16,1,59285.31471947662
1234,332,5.159193454825348,0,10,2,56303.1708718396
1329,89,5.825210053766221,0,5,2,46631.955580574766
1396,238,4.354702723319486,0,20,1,61361.95266754266
177,213,4.014085829248284,0,24,2,26813.39752708456
67,585,5.610992092064489,0,19,3,41627.04477386689
1866,585,4.153591368573468,0,6,3,102982.40879703405
1808,53,4.827412063820061,1,21,1,64900.33600825019
615,884,5.35777467437757,0,7,2,71927.41939903854
619,339,4.47359517091236,0,7,1,31253.123937666518
1396,482,4.167925126893453,0,9,3,74444.93240976382
1945,520,5.5400424569116575,0,21,1,92470.24843077401
735,230,5.260350169774083,1,21,1,49397.58765128839
1865,297,5.97698096897361,1,24,1,78427.79464568978
675,677,4.688616066639918,0,10,1,58968.71114104942
1361,328,4.123524772580399,1,5,3,75806.37109862837
903,926,5.468700070670591,0,11,1,83711.76253858965
1736,630,5.043466837706491,0,19,1,82866.61110966287
1011,912,4.42640786277827,0,11,2,90448.01928800509
1712,303,5.563457978009518,0,23,1,61002.64487365085
204,230,4.407510971699887,1,24,2,29743.76546925886
539,879,4.521323309665873,1,15,1,76761.34998808519
1459,730,4.185057108733439,0,18,2,89715.81542924071
834,874,4.798864558061709,0,17,1,82379.20883260288
1177,558,4.837858447874838,1,24,2,82995.20561583508
1466,810,5.029123580696597,1,13,1,99786.86851828631
1884,749,5.4179285342475545,0,13,1,102201.14802518672
295,615,5.812201857360852,1,20,2,46799.77064756708
1249,375,4.275468197775617,0,16,1,56919.402477959935
1112,406,4.108696196697315,1,14,1,63237.67223139576
1550,874,4.037062467188667,1,10,1,109978.21583684154
1755,699,4.2872427561376325,1,22,1,110443.65796588987
808,729,5.315898971563252,1,6,3,89272.77770360862
587,440,5.4549541559929935,0,24,1,49585.24051232054
1940,664,5.573011427056244,0,13,3,105946.55924803788
1891,983,4.4874164238086856,1,23,3,126893.399944123
970,134,4.61178962652304,0,10,1,38609.35107766163
457,366,4.966269291130999,1,6,2,43695.09317004116
